Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.045599587,-0.048845306,-0.078874126,-0.0603377,-0.09602667
0.046520136,0.009940025,0.0055521806,0.05496515,-0.07780672
0.013480664,0.001639222,-0.05480922,-0.058935676,-0.08435968
0.0774153,-0.033512734,-0.015524343,-0.060918882,-0.06039668
0.058855258,-0.030271886,-0.019565094,-0.03940299,-0.098314494
-0.032692585,-0.02746203,-0.09168914,-0.078348964,-0.17138545
0.033907846,-0.0011413633,0.03174309,-0.024306748,-0.035904486
0.012795183,-0.015912862,0.053069547,0.02245568,-0.05929271
0.017793791,-0.03006208,-0.08333781,-0.025300361,-0.053269956
-0.113878354,-0.101377815,-0.12734088,-0.14813524,-0.22079657
0.039060097,0.030231081,-0.0036833012,-0.0021975674,-0.024080142
-0.06550335,-0.043712527,-0.088994555,-0.052334435,-0.16065551
0.020677276,0.03918468,-0.0434309,0.060327213,-0.052080657
0.022003252,0.0026726015,-0.017679917,0.02528404,-0.03841836
0.07625575,-0.028968317,-0.04046148,-0.067199945,-0.07897892
0.0041458923,-0.023894526,-0.0402063,0.010976452,-0.045481168
0.010201999,0.05244213,-0.022692502,-0.075153194,-0.057921194
0.101280294,-0.0072943345,-0.020537619,-0.051998563,-0.017125696
0.06404604,0.013508909,-0.017618202,-0.037356723,-0.032053337
-0.0065450906,0.005542877,-0.076360986,-0.06545478,-0.08095382
-0.0911053,-0.016270997,-0.070930675,-0.102303185,-0.12878993
-0.027641706,0.026010204,-0.028230397,0.028250307,-0.104879
-0.06292258,-0.013783108,-0.03206267,-0.08957504,-0.06589267
0.003987551,-0.0017414335,-0.07566497,-0.100391775,-0.10526347
0.10965206,0.033299506,0.042400174,-0.0051695183,0.0601954
