Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.13383013,-0.03199015,-0.08624908,-0.034512393,-0.11519377
-0.07383228,-0.07272665,-0.14024544,-0.09516281,-0.10445735
-0.10593113,-0.03331886,-0.116052315,-0.057398435,-0.098804876
-0.103617445,-0.059046693,-0.092925616,-0.037056483,-0.14998476
-0.011729205,-0.05786658,0.020999998,-0.05542002,-0.11289545
-0.07078621,-0.04644733,-0.036770947,-0.005009141,-0.06432625
-0.10475642,-0.07983602,-0.13275215,-0.15163592,-0.1562117
-0.1989154,-0.08425216,-0.15861674,-0.098208696,-0.22890058
-0.1535803,-0.07205094,-0.024528265,0.08663687,-0.016891692
-0.17879643,-0.08645728,-0.104391396,-0.077031836,-0.23228624
-0.029707927,-0.0052865148,-0.041380737,-0.09449179,-0.0691942
-0.08616664,-0.073548615,-0.09280932,-0.053809702,-0.1445197
-0.10704304,-0.0143051725,-0.093286395,-0.03157182,-0.13458705
-0.07082015,-0.022505429,-0.10498989,-0.1342027,-0.16946505
-0.030570406,0.028759832,0.0062045343,-0.080962844,-0.056960713
0.10167591,-0.0036380594,-0.0076549547,-0.09466186,-0.1121532
-0.12188365,-0.044207886,-0.08325593,-0.060746897,-0.14971
0.011687048,-0.013151874,-0.06438903,-0.104901135,-0.07852036
