Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.04688409,0.0121424785,-0.031526763,-0.06686291,-0.07983329
-0.06778722,0.021705687,-0.04506825,-0.09843044,-0.13559693
-0.03806191,0.010702025,-0.04152257,-0.0790093,-0.10021747
-0.099562556,-0.09023784,-0.07157016,-0.11901796,-0.13163234
-0.042997397,0.027274054,-0.048240907,-0.06568175,-0.13675587
-0.02045586,0.016262092,-0.034768492,-0.05482688,-0.13613276
-0.0022961597,0.13456635,0.0028602313,0.012886333,-0.043596845
-0.1813691,-0.041034468,-0.052046753,-0.07817668,-0.20068753
-0.066040486,-0.015893476,-0.016682925,-0.07490423,-0.12844542
-0.0543059,-0.008910626,-0.06581016,-0.047663167,-0.1374903
0.027728256,0.035432585,0.0074547874,-0.051498037,-0.057740364
-0.012558251,0.031548567,-0.049829252,-0.014082746,-0.061164074
-0.12147814,-0.03320828,-0.09799929,-0.16655579,-0.105329916
-0.12877469,-0.09815588,-0.074155256,-0.047538746,-0.1683498
0.008897591,-0.01947195,-0.046605885,-0.043448977,-0.13539983
0.078529745,0.06982724,0.054281734,0.026272973,0.0021365369
