Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.15099347,0.1641103,0.07238272,0.044954807,0.07168124
0.1262466,0.11421867,0.04965888,0.0079662185,-0.0023557283
0.10926278,0.06776873,0.06091565,-0.08085473,0.045790385
-0.11705932,0.06167855,-0.063344,-0.06833287,-0.20614877
0.06729373,0.07769762,0.03640037,-0.0033002095,-0.033228103
0.24229437,0.1523685,0.030325372,0.008091141,0.06799513
0.14457637,0.15172099,0.055476684,-0.0073734913,0.11850931
0.17238171,0.15054338,0.08317907,0.018903546,0.071489096
0.109870434,0.12744921,0.09227151,-0.022697305,0.047819443
0.15798682,0.18406288,0.12640283,0.034252547,0.067245886
0.07397644,0.22836418,0.1264643,0.059652377,0.072311
0.063381955,0.11094937,0.11205967,0.07071836,0.021615598
0.06916391,0.1272977,0.10064481,0.03611611,0.08738844
0.037502006,0.066112846,0.027158402,0.008530773,0.021837972
0.040023405,0.068890914,0.07776448,0.021432187,0.03044637
0.030138725,0.10603002,0.04750497,0.028464895,0.086246446
0.03994284,0.09507118,0.03377746,0.042268183,0.054168694
0.13707137,0.13378051,-0.03486667,0.08510039,-0.0018564314
0.095606446,0.07171544,0.009559186,0.050027452,0.00979821
0.13994828,0.116413,0.046855778,-0.022844918,0.08999547
0.13878195,0.12928909,0.017961537,-0.022679351,0.07750435
0.037896752,0.09543343,0.04570298,0.05877552,0.0064733047
0.016689297,0.12169112,0.03660508,0.053926848,-0.033591665
0.037006304,-0.027486855,-0.0017814729,-0.073966965,0.0700728
0.02435696,0.16378818,0.05811118,0.18837777,0.0062614167
0.14904544,0.13510889,0.04593672,0.007826883,0.06328133
0.12676501,0.05017019,0.03487511,0.013939153,0.08860201
0.10201753,0.12428316,0.050129756,0.026643682,0.020489354
-0.022160048,0.0022060107,-0.0064548263,0.079658076,-0.07017274
0.047305174,0.050226096,0.12999043,0.03913706,0.054310255
0.04394577,0.09887262,0.06843446,0.0114768855,0.0761023
0.0042669177,0.05062327,0.027606431,-0.021871142,-0.009895839
0.13264021,0.11862016,0.041022934,-0.046036847,0.06937522
0.044492178,0.040402483,0.012605173,-0.024529997,-0.01366939
-0.028774315,-0.020673158,0.06473984,0.08143185,0.04771494
-0.021978946,0.078966126,0.05146413,0.053805776,-0.009377125
0.11648571,0.10754487,0.022687811,-0.0014390647,0.0587381
-0.107454754,0.112484515,-0.03266041,-0.04755997,-0.029214779
-0.06505534,0.08959142,0.05171581,-0.059904408,-0.05845685
-0.044681624,0.08125583,0.017826471,-0.05129206,-0.0026227725
-0.03216459,0.08303573,0.045469142,-0.03367932,-0.010461261
0.03788865,0.012046891,0.022584155,0.013139272,-0.05225466
-0.0021939417,0.054602664,0.04824114,0.055980872,-0.0022565331
0.14588317,0.1550228,0.051257946,0.016736845,0.1292567
0.06388466,0.12495487,0.06348255,0.0066468064,0.046523746
-0.03041172,0.070813626,0.048407696,-0.052313317,-0.087645575
