Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.018209942,-0.02195841,-0.06903942,-0.061167322,-0.1594171
-0.037143078,-0.0017419024,-0.050239507,-0.026007693,-0.15940388
-0.055064186,-0.03483805,-0.0690172,-0.10964661,-0.18069495
-0.115863256,0.0016217942,-0.13516214,-0.128489,-0.3150672
-0.118696354,-0.035408225,-0.14537731,-0.096999586,-0.17638248
-0.14330076,-0.03799545,-0.09935442,-0.16305324,-0.21089725
-0.06902073,0.025567386,-0.03780869,-0.006358361,-0.17842865
-0.065591626,0.0010423912,-0.016933292,-0.063846484,-0.133668
-0.022603728,-0.050827466,-0.10916435,-0.12045216,-0.22019291
0.099021435,-0.006507382,-0.020090923,-0.047097698,-0.15005739
-0.0071231024,-0.07928975,-0.054683514,-0.08611448,-0.11690427
0.022375427,-0.039360084,-0.024058973,-0.01938003,-0.096098654
-0.009578345,-0.13985059,-0.076250285,-0.15011694,-0.14296713
0.024073927,-0.020718828,-0.0405829,-0.13994926,-0.14502788
-0.003821399,-0.00743544,0.003557804,0.052817203,-0.033391763
0.03391698,0.049690157,0.108910434,0.048187096,-0.012353392
0.08474617,0.12760782,0.115425475,0.16442168,0.06162852
0.051908366,0.004413677,0.013949533,0.034771264,-0.081423074
0.095146865,0.050444108,-0.010123572,-0.020097915,-0.061505463
0.12086558,0.010747179,0.016362013,-0.036211662,-0.05458809
0.06778268,0.10704768,0.06755853,-0.063141584,-0.07581156
-0.108946085,0.0097506065,-0.027965551,-0.0072551053,-0.18789376
0.012068231,-0.057051394,-0.058638543,0.0031110775,-0.10941184
-0.066146225,0.02370663,-0.08978036,-0.118173204,-0.19789475
-0.0058318516,0.045270048,-0.026315924,-0.12254244,-0.08636257
0.015574113,0.007137267,-0.087402366,-0.16836543,-0.14278048
0.06549402,0.094423085,0.07761167,-0.034242913,0.030538684
-0.011039755,0.019790608,-0.02889824,-0.04175718,-0.06760251
-0.09022863,-0.023913762,-0.094244495,-0.059571326,-0.27920035
-0.07431283,-0.05342032,-0.03032222,-0.034840226,-0.16131438
-0.12881437,-0.051611524,-0.053467516,-0.11212459,-0.21729615
-0.10923049,-0.064654775,-0.083686195,-0.091682166,-0.22350839
0.025301997,0.0047483593,0.005562222,-0.042880908,-0.16658255
-0.04729499,-0.021538675,-0.08128479,0.036361553,-0.15799028
-0.022830022,-0.0212301,-0.050496157,-0.040740754,-0.13619193
-0.040340994,-0.036915135,-0.037097935,-0.049570356,-0.11931937
-0.055414572,-0.021391965,0.04774411,0.023293126,-0.04710219
-0.016558267,0.0067239944,0.014306997,0.052588873,-0.07400105
0.06842124,0.07747594,0.04775277,-0.021511285,0.032731824
0.14845172,0.16888326,0.15070032,0.066586286,0.007432729
-0.048444614,0.05041343,0.0067144297,-0.017844671,-0.061025575
0.10665336,0.07130891,0.064797714,0.007690387,-0.053831547
0.086290345,-0.016416494,0.014096253,0.004920756,-0.1464671
-0.08175966,0.061528783,-0.03365397,-0.019374423,-0.15651512
-0.14261101,-0.030123167,-0.059578873,-0.09077751,-0.16003524
-0.07068304,-0.15784091,-0.12101709,-0.047930747,-0.13455586
-0.063429415,-0.07468814,-0.10604882,-0.023978837,-0.13940626
-0.03321985,-0.080855966,-0.06665798,-0.02793987,-0.09810064
-0.067837894,-0.042302288,-0.03813658,0.003003247,-0.051879577
-0.060086917,-0.020739194,-0.06616324,-0.03664478,-0.10189687
0.08294788,0.09418471,0.12142222,0.038567126,0.010312619
-0.13556132,-0.044617914,-0.0786921,-0.0048461407,-0.16774906
-0.038929746,-0.12951298,-0.11095962,-0.036044713,-0.110395394
0.01551586,0.024653029,-0.12160565,-0.004625041,-0.055804152
-0.005087454,-0.024373233,-0.009854674,-0.13221651,-0.08600256
-0.013188139,-0.0013415787,-0.14612602,-0.09772042,-0.13251531
-0.117199436,0.019800523,0.0016970001,0.073643506,-0.093435995
0.05325764,0.046695422,0.1624431,0.12181934,-0.11328009
-0.042087775,0.048795335,0.066284835,0.10515621,-0.019667491
-0.111102976,0.045605667,0.011624439,0.035222,-0.13285695
-0.11725919,-0.11765684,-0.08873729,-0.1271802,-0.19046152
-0.057790667,-0.07229343,-0.12435389,-0.07600691,-0.25325328
-0.15644342,-0.055423934,-0.10340504,-0.1577865,-0.26406467
-0.036984257,0.024785744,0.017771397,0.0060628476,-0.24045
0.07642158,-0.0031946087,0.11878903,0.11280945,0.039016712
0.06792892,0.060200524,0.1345861,0.14313176,0.09119364
0.008127641,0.06934912,0.0656252,0.016700014,-0.12605658
-0.0734451,0.00094862096,0.09182233,0.12023415,-0.060134754
-0.0037440956,0.06591204,0.091565266,0.023430537,-0.10581725
0.0002144184,0.053831294,0.064185046,0.0018928908,-0.030904446
-0.071905054,-0.05742153,0.016727556,-0.022534557,-0.028105155
0.06535135,0.087275036,0.11702316,0.08913881,0.0021764506
0.03670063,0.061762646,-0.005284071,-0.061462328,-0.10907923
0.03164012,0.017583553,0.027094271,-0.051402386,-0.04755979
0.084225,0.07354118,0.009962464,-0.066015154,-0.06584468
0.024716962,0.07339625,0.061158195,0.023050584,-0.030737806
-0.0023603383,0.0427007,-0.034652937,-0.15779528,-0.14823629
-0.013142806,-0.016000088,-0.12520951,-0.08147128,-0.095585816
0.010983067,0.08509695,0.043529466,0.045577902,-0.034877103
0.026071941,0.15249264,0.05879664,-0.029759752,0.0070834095
0.095219746,0.048726387,0.03432469,0.044288345,-0.03498559
0.06797106,0.057292726,0.022479322,-0.009448312,-0.017260365
0.028431414,0.093635954,0.04839133,0.0103436895,-0.015125307
0.10114528,0.07933951,0.103725016,0.05039579,0.060500175
-0.09930789,-0.1940301,-0.2230703,-0.17121866,-0.18772404
-0.105075784,-0.08634117,-0.12229709,-0.1384583,-0.08713849
0.01934538,0.03926012,-0.02392594,-0.07671756,-0.1151643
-0.023766521,0.039528057,-0.06539534,-0.12480155,-0.0987468
-0.025801057,-0.04491562,-0.06718049,-0.1480518,-0.17793739
0.0125774145,0.05354166,0.0031052902,0.009251344,-0.09738968
0.04098134,0.03408158,-0.016809847,-0.09265068,-0.07410741
0.031114744,0.042744376,0.042896487,0.007872354,0.077241406
-7.048249e-05,0.03160071,-0.029918302,0.039574135,-0.09355059
-0.10483174,-0.013195556,-0.060742892,-0.100088544,-0.19321492
-0.04528464,0.101674415,-0.0077515505,-0.0061579663,-0.0725131
0.056272846,0.045186773,0.033282895,-0.007297134,-0.056780577
0.08574263,0.044528935,0.01302109,0.012765716,-0.07236215
0.17312694,0.16182536,0.11586664,0.07631145,0.038182326
0.078822844,0.024015654,0.042382848,0.019458272,-0.050537825
0.03831444,0.05402367,-0.00017325766,0.0081704,-0.10967455
-0.06204173,0.0218163,-0.033337444,-0.0057267076,-0.14878076
-0.020338094,0.058291372,-0.026672302,-0.039044425,-0.13979143
