Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.04031481,0.110983536,0.021125246,0.029689828,-0.0023291502
-0.05014237,0.022538256,0.010054361,0.010899186,-0.105829686
-0.039684396,0.06620279,0.052340254,0.08213873,-0.05129596
-0.09548963,-0.0017059613,0.011924597,0.025327232,-0.17279066
-0.043831747,0.035510365,-0.038508225,-0.045682136,-0.063567035
-0.04155829,0.061096165,0.0026600393,0.011641039,-0.13591665
-0.098198466,0.033920813,-0.040914953,-0.0379784,-0.17245601
0.016087348,0.020692043,0.008982432,0.0023110025,0.0027435794
0.05281969,0.021825356,-0.0029706983,0.0031217923,-0.053249676
-0.054057423,-0.0014584176,-0.10328092,-0.125003,-0.1350902
-0.062246438,-0.025837325,-0.0438594,-0.07366498,-0.109795496
-0.10627801,-0.09511126,-0.078428574,-0.087797,-0.213182
0.043489,0.08727343,0.027087301,0.02804701,-0.033624634
-0.006456322,0.061715778,-0.0020209043,0.07295641,-0.16898192
-0.030526308,0.03750321,-0.014318667,0.040689595,-0.13191223
-0.17771503,-0.10692792,-0.05007361,-0.08644812,-0.259107
0.036020502,0.108750485,0.029078051,0.047344245,-0.10002752
-0.025035065,0.14202885,-0.014997582,0.041283228,0.011865076
-0.055967346,0.15754472,-0.04331442,-0.075373985,-0.21671027
0.052408215,0.083460614,0.017015142,0.04570105,-0.03263777
-0.03699194,0.023101412,-0.015218394,-0.05116451,-0.049980294
0.008285398,0.062717155,0.08027589,0.060925458,0.036825914
0.08180392,0.0958857,0.03364861,0.05436151,-0.032359056
0.12277679,0.13903694,0.09784125,0.11135031,0.102583624
0.09266512,0.057581887,0.014687015,0.13256209,-0.042351447
0.093104854,0.11108858,0.05109051,0.069371775,0.012280662
-0.047067292,0.06242108,0.0046901396,0.04070754,-0.06914857
0.024121435,0.012564936,0.04079824,0.07238411,-0.15014368
0.05158674,0.08662489,0.059632726,0.07592781,-0.09045614
-0.054150872,0.0166823,-0.03778447,0.018545887,-0.1227784
-0.06361434,0.05393316,-0.022321207,-0.019430168,-0.10876706
-0.0030016564,0.093201876,-0.0042516566,0.034021158,-0.08497734
-0.044952225,0.05251221,-0.009254619,-0.025001334,-0.05582322
-0.006592162,0.030763408,-0.03873804,-0.018279871,-0.14036545
0.16136861,0.15353134,0.16894837,0.09050588,0.09806454
-0.03864673,0.07655227,0.04125265,0.1031447,-0.052903324
0.042225413,0.029550161,-0.043928333,0.008283177,-0.0206874
0.09060809,-0.038785886,-0.008240193,-0.016082091,-0.06790904
0.061356675,0.098169886,0.000871549,-0.08606425,-0.06371226
-0.026059791,0.00104063,-0.006603819,-0.047857106,-0.12188472
-0.02238467,0.044955768,0.009219887,-0.041739088,-0.12321043
0.0044681435,0.04081752,0.013714361,0.00033055805,-0.010555298
-0.039797924,0.13348258,0.035289597,0.06958275,-0.12373676
-0.031168481,0.004100155,0.00085873646,-0.04390654,-0.106749564
-0.09872923,0.07817701,0.038034253,0.017700233,-0.09220128
-0.035548393,0.031050283,0.01149886,-0.004873341,-0.097082704
-0.10379461,0.044635996,0.03581122,0.048848677,-0.10470688
-0.12959471,-0.0687383,0.0075669885,-0.011079894,-0.11631142
-0.116946675,-0.16703114,-0.07250225,-0.09071793,-0.2658093
-0.06410361,0.020157915,-0.017465997,0.02290161,-0.10581572
0.024410736,-0.017279891,0.02989645,-0.039645206,-0.043051902
-0.0065521025,-0.022062678,0.055243596,-0.020296492,-0.15943778
0.036876794,0.0005905647,0.072033904,0.03583721,0.024134738
-0.028722893,-0.03996035,0.02097259,-0.030177372,-0.09904887
-0.016789846,0.012340782,-0.02778078,-0.03644811,-0.13406524
0.04856259,0.09480055,0.07949011,0.04691418,-0.027678685
0.061429318,0.006382972,-0.01694505,0.00036393106,-0.037555102
0.0037880603,0.018360421,-0.052961234,-0.0993385,-0.11739357
-0.07221677,-0.009949166,-0.06836507,-0.0800234,-0.13407762
-0.017192595,0.089955136,0.058576874,0.04068738,-0.08937577
-0.025529962,0.027082015,-0.02722883,-0.002748482,-0.030203559
0.090755604,0.021296836,0.012066923,0.019248676,-0.07682281
-0.09832637,0.027225055,0.009129535,0.008289982,-0.12583984
-0.048912678,0.015004065,0.035888135,0.045816295,-0.06816781
-0.009111303,-0.014287186,0.058386482,0.05248887,-0.04153646
0.0066615418,0.028543165,0.048188344,0.058176197,-0.054397397
-0.022108598,0.029112488,0.025497142,0.092913374,-6.230181e-05
0.0179675,0.054302935,0.049686417,-0.007099014,0.02889764
-0.15313537,-0.018792028,-0.027584586,0.012359861,-0.17550449
-0.03692865,-0.046705533,-0.016888877,-0.05678383,-0.15252459
-0.01786501,0.02313253,-0.03063471,-0.02973454,-0.08684518
0.04548618,-0.054013666,-0.03682823,-0.03399259,-0.024824243
0.039130062,0.041602977,-0.0027662679,-0.026547292,-0.008626934
-0.0997813,0.014005277,0.05199138,0.056153048,-0.07029432
-0.011087629,0.023186801,0.015647434,0.0523626,-0.06460486
-0.111441836,-0.05540083,-0.06710799,-0.05402313,-0.12075862
-0.092773795,0.02876498,-0.055926107,-0.029347017,-0.037428282
-0.0047765546,0.014481168,-0.01700307,0.010796862,-0.084621996
-0.059921242,-0.06446382,-0.13548884,-0.07802086,-0.19729222
0.021144703,0.028780494,0.06679998,0.06236983,-0.06420493
0.087519914,0.055239275,0.06995277,0.05942682,-0.032223362
0.01821188,0.13147923,0.08607769,0.047526058,0.050106138
-0.100705385,0.001607161,0.059564874,0.008587134,-0.18842304
-0.011609212,0.02543701,0.0026294356,0.021788452,-0.13845742
-0.026208933,-0.025020761,-0.024845857,-0.091967,-0.12847115
-0.0880567,0.04014388,0.05691576,0.041095898,-0.0833244
