Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.080856085,0.010732273,-0.02214992,0.012576979,-0.10419306
-0.07106347,-0.09479585,-0.024863347,-0.051786166,-0.105951376
-0.09435676,-0.008662064,0.048406146,0.05298752,-0.07114212
-0.012553135,0.0062490944,0.05592496,-0.031668477,0.053192817
-0.042614028,0.091055706,0.05557103,0.03146784,-0.03589838
-0.24489988,-0.047479287,-0.054972902,-0.024609614,-0.187341
-0.24479209,-0.03893003,-0.05840396,-0.05205234,-0.2669441
-0.12739167,-0.025096126,-0.015993824,-0.0594777,-0.23189095
-0.14427052,-0.016886137,-0.08603673,-0.09448061,-0.17256552
-0.14949594,0.016910821,-0.057963237,-0.012452135,-0.13523492
-0.090115674,0.02726688,0.027273897,0.024416504,-0.10403682
-0.09519811,0.034877777,-0.054921146,-0.09124644,-0.11332534
-0.11934897,0.056784637,-0.01592004,-0.1113653,-0.017129768
-0.031892437,0.11660102,0.06258253,0.03479483,-0.033000205
-0.025062568,0.10135194,0.05689571,0.055413738,-0.026343442
-0.072112255,-0.02337078,-0.004600849,0.028774608,-0.027732927
-0.036313523,0.06790541,0.04637505,0.022953585,0.0117979115
-0.03346455,0.114778824,0.05571302,0.038300738,-0.023086563
-0.054946452,-0.013057448,-0.017091174,-0.020361755,-0.13803554
-0.099588335,0.10087268,0.07382245,0.1652472,-0.0007504355
0.010828802,0.12750699,0.07876842,0.11311987,0.046116367
-0.15851709,-0.014760683,0.0026333947,0.060609795,-0.09381156
-0.073776126,0.0019440018,-0.0048367325,-0.00713568,-0.067705
-0.17772205,0.021798912,0.03786551,0.07696601,-0.09817048
-0.10068284,0.04007452,-0.0011822004,0.046753876,-0.11990214
-0.014788454,0.055215325,0.08241014,0.055420667,-0.070851356
-0.12335993,0.02026892,0.037694022,0.048203696,-0.09650208
-0.14973532,0.05377973,0.044793084,0.11139285,-0.12099217
-0.09320984,-0.0073556863,0.04330949,0.008513427,0.047102857
-0.016573703,0.08816213,0.08910957,0.10558316,-0.0068662064
-0.12274552,0.029928982,0.024588495,-0.0029180907,-0.11170526
-0.19276552,0.020610861,0.023849588,0.069051534,-0.14021567
-0.1382253,-0.017270274,0.018631922,0.10004589,-0.10471024
-0.12963705,-0.0712266,-0.05562909,-0.03036543,-0.10156184
-0.21099573,-0.011990781,-0.037318777,-0.040931884,-0.1989511
-0.09869045,0.031746957,-0.0069211554,-0.001257913,-0.10916442
-0.09110111,-0.05821292,-0.029225564,-0.013245676,-0.09382447
-0.10436041,-0.071914524,-0.08671167,-0.07316882,-0.19736838
-0.11254393,0.021664012,0.0060547767,-0.026760723,-0.074175514
-0.08436767,0.03429489,0.00023875013,-0.028916463,-0.09948172
-0.18026954,0.029536357,0.0478814,0.06432523,-0.110524856
-0.19339627,0.048154317,0.005249411,0.014514071,-0.11315323
-0.1731768,-0.003876906,-0.026694335,-0.043503698,-0.16439208
-0.07096484,-0.020869879,0.0037789352,0.08943972,-0.13732639
-0.1533528,0.02006836,0.005231209,0.040800825,-0.14802143
-0.041808233,0.11032464,0.03832054,0.027839933,-0.039157264
-0.094106935,0.017380137,-0.027960345,-0.104594275,-0.04134166
-0.124176696,0.012092012,-0.023090854,-0.027386947,-0.12426865
-0.07941249,0.07269684,0.01641044,0.016163517,-0.09376697
-0.09132585,-0.044554304,-0.041572623,-0.061118737,-0.15101604
0.0006337315,0.14970899,0.112143815,0.092769206,0.07588695
-0.00020551682,0.010728431,0.06301049,-0.003099773,0.002537936
-0.0714297,0.03751548,0.057301942,0.08205583,-0.088215575
-0.021536585,0.040752657,0.027193021,0.031306442,0.033982135
-0.21765706,-0.08450366,-0.03948572,-0.02302552,-0.30918983
-0.15822035,-0.06833161,-0.080584496,0.014407506,-0.21363571
