Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.038509358,0.014250586,-0.0858103,-0.14162445,-0.21571343
-0.060325935,-0.06425411,-0.097913556,-0.09092184,-0.081629224
0.051691573,0.054269724,-0.032196827,-0.051048942,-0.08056803
-0.088770494,-0.027605256,-0.062853634,-0.17527217,-0.20015773
-0.04480584,-0.09524049,-0.05932878,-0.07115561,-0.13503268
0.08352306,0.04829064,0.0751137,-0.0007300768,0.13695464
0.019247025,-0.015347887,-0.02211151,-0.07476152,-0.016469724
-0.09557223,-0.053247724,-0.10743576,-0.1397754,-0.14822887
-0.14193967,-0.01727432,-0.12251496,-0.19139409,-0.124352984
-0.108645044,-0.021706915,-0.1106786,-0.0821237,-0.17339778
0.026390076,0.03597177,-0.049696263,-0.12309399,-0.13077809
0.03697687,0.03279752,-0.024634922,-0.06362228,-0.09076301
0.046844732,0.049288675,-0.009216942,-0.049266096,-0.016212322
0.004952755,0.042562705,-0.027393553,-0.033157945,-0.047178302
0.0304998,0.05539876,0.0019739028,-0.073372416,-0.012949639
-0.0124682505,-0.051645756,-0.023101471,-0.03567999,-0.012128867
0.026927445,-0.0017533135,-0.061314445,-0.094445385,-0.065328814
0.0132712,0.016063238,-0.010441967,-0.07996017,-0.0074645495
-0.026098227,-0.026810339,-0.03976956,-0.043470606,0.03757964
-0.046616465,0.00055751577,0.0036848215,-0.053883113,-0.088156655
-0.024375357,-0.01670855,-0.04914258,-0.04236496,-0.06218193
-0.029032499,0.0036320593,-0.057462297,-0.042090863,0.06505786
-0.11296165,-0.12971242,-0.1330467,-0.11953142,-0.15648584
-0.062202044,0.024001846,-0.079757385,-0.09390803,-0.062171478
-0.063252226,-0.06787583,-0.09446577,-0.15993,-0.17623636
-0.09962531,0.03777931,-0.05140438,-0.15006334,-0.13118416
0.06612243,0.01918757,0.004023838,-0.0672243,0.041194625
-0.07297383,0.04764244,-0.018693756,-0.1640957,-0.06548691
0.013516426,0.030357976,0.011993773,-0.0025944412,0.0250451
-0.00037544034,-0.029782468,-0.08004938,-0.07483229,-0.12633452
0.047725834,0.031317316,-0.028211234,-0.06377235,-0.063887894
0.07308026,0.013926887,0.024640458,-0.021393746,0.035078496
-0.023431327,-0.036405846,-0.030373985,-0.035399213,-0.045651846
0.06591299,0.04605972,-0.009391255,-0.039391324,0.06795304
0.014090227,0.03161804,-0.023587424,-0.07407968,-0.019821623
0.017497927,-0.07222726,-0.024245366,-0.076885305,-0.0645901
-0.108967006,-0.124103375,-0.06670575,-0.039652925,0.012087148
-0.129493,-0.046034563,-0.08305698,-0.042830907,-0.016658459
0.12184642,0.11430207,0.23522452,0.16554281,0.1617068
-0.00096935406,-0.07781719,-0.068164386,-0.10286587,-0.00047308207
-0.08653319,-0.071602665,-0.028953418,-0.12101953,-0.08689041
-0.07291883,-0.02173483,-0.02731309,0.043227606,-0.076625794
0.03196642,-0.06496434,-0.032684457,-0.0007212404,0.01697487
-0.10425954,-0.06646348,-0.0781552,-0.16468552,-0.18437555
-0.074996494,-0.13627328,-0.07009592,-0.028049724,-0.043657295
-0.07728473,-0.082875445,-0.04310755,0.028460799,-0.039603762
-0.035262063,-0.08444208,-0.0899675,-0.047396716,-0.10749823
-0.062008135,0.0050612204,-0.03288973,0.009776205,-0.06310659
0.041805215,-0.026265694,-0.05242479,-0.040415566,-0.03303884
0.06915541,-0.028760625,0.0017662919,0.029273741,0.052289173
-0.04689245,-0.02333938,-0.07405404,-0.007817385,-0.012001219
-0.03788756,-0.052595437,-0.088063896,-0.07771146,-0.073616624
0.029708628,-0.019999396,-0.03408765,-0.05889471,0.0166137
0.027623639,0.042527147,-0.061184097,-0.08715266,-0.09206469
-0.013751995,0.007810086,0.05013687,0.010742391,-0.045712203
0.0012530386,0.0056860745,-0.018909328,-0.008321239,0.037069157
-0.026108526,0.019377613,-0.033602275,-0.068504505,0.048982933
0.03801859,0.015563905,0.010116775,-0.017593537,0.06475243
0.023537673,0.06829529,0.08411942,0.06779165,0.18535188
0.050718896,0.0057628397,0.03672453,-0.0030257509,-0.04913865
0.020725872,-0.034593757,-0.047274224,-0.031418364,-0.08258265
0.034222174,0.02252537,-0.011513703,-0.050991334,-0.03089299
-0.037524696,0.002850717,-0.056787573,-0.09367774,0.00033689395
0.053824574,0.00012606941,0.04351385,0.05787381,-0.03887243
0.08257667,0.06337583,-0.0059085228,-0.018316474,0.05293835
0.040427513,0.000387192,0.01393942,-0.007784929,0.057324726
0.015730595,0.052408986,0.012755599,-0.012796091,0.016144117
-0.084112644,0.0019022538,-0.053874493,-0.07753204,0.04528508
-0.042580996,-0.098754615,-0.04956443,-0.19310272,0.060924165
-0.008999914,0.031513315,-0.024249023,-0.057961028,-0.0024192594
-0.03370803,-0.02234437,-0.06829357,-0.0064404644,-0.049413145
-0.023272187,0.047717743,-0.013542691,-0.015414184,-0.017035447
-0.020319618,-0.059465237,-0.09555756,-0.048974942,-0.12922592
0.08687282,0.01513483,0.049722683,0.044844292,-0.00421151
0.03543883,-0.010859,-0.029855277,0.002075259,-0.07212172
0.026298229,-0.016410982,-0.029109832,0.018656753,-0.02061327
-0.02418749,0.024431163,-0.021478439,-0.005936468,-0.07184226
0.03633426,-0.026136635,0.002013404,0.075594574,-0.013904432
0.035073504,0.013127772,0.016519573,-0.010930812,0.09282249
-0.042047743,-0.022585683,-0.011674514,0.05230359,-0.013230723
-0.020598596,-0.0201053,-0.06818404,-0.11529006,0.042825107
-0.056193046,0.04168484,-0.05083217,-0.04357023,0.017303165
-0.07132192,0.012242841,-0.09645234,-0.10616532,-0.07354663
-0.016426073,0.052685957,-0.00427898,-0.039124303,0.039818037
-0.07201709,0.026608668,-0.082606,-0.05781491,-0.014920431
0.037045516,0.048712958,0.02350476,-0.0338405,0.15866143
0.007062666,0.0011788816,-0.065462686,-0.06900495,-0.04411044
-0.062751055,0.12738621,-0.00068018143,-0.01548066,-0.02782172
-0.030767977,0.059516553,-0.022159666,-0.055471804,0.059464887
0.13664097,0.060401026,0.09237281,0.09179059,0.020249952
0.039882634,0.100652985,0.025307203,-0.06657181,0.028096916
0.022582559,0.049321763,0.03633415,-0.03672014,0.055563927
0.08603228,-0.013345538,0.029042412,-0.002001083,-0.03187095
-0.049815565,-0.04503545,-0.042254347,-0.10270399,-0.057430398
-0.028467495,0.046856735,-0.042564824,-0.06991854,-0.1526351
0.020981504,-0.024202911,-0.08173351,-0.12974632,-0.14796698
-0.008813616,0.021802587,-0.044754155,-0.12442425,-0.08364097
0.051734686,-0.006096001,0.022551175,-0.022906192,0.025234988
0.020079862,-0.003825368,-0.059780717,-0.043861777,-0.029319255
0.03992063,0.0032462217,-0.0051690666,-0.02108175,-0.0004580645
0.044550493,0.021849472,0.041369878,0.028753057,0.09285553
0.032249503,0.034399547,0.0044143572,-0.04057836,-0.008125099
0.0061934907,0.023920301,-0.0021163786,-0.0053230636,-0.057629578
0.014955073,-0.003567594,-0.01913696,-0.08305299,-0.057798527
0.008194447,0.020438224,-0.062076353,-0.094232105,-0.12903705
-0.05165028,0.052265882,0.009531748,0.029030252,0.04069735
-0.007481644,0.06480653,0.016546205,-0.00567447,0.011960608
0.07089979,0.010857327,-0.0012638714,-0.003197316,-0.03335297
-0.023908023,-0.005094357,-0.023910189,-0.02542372,-0.033271156
0.059909776,0.020269087,0.0057873027,0.01442714,-0.029417012
0.043007158,0.019367646,0.010524511,0.0039494354,0.048008054
0.046039235,0.04762951,0.044032924,0.11190117,-0.028217107
-0.01325308,-0.06261336,-0.07224429,-0.04691881,-0.05183007
0.03875316,0.039399214,0.007925141,-0.054024193,-0.01868337
-0.03681069,0.034803487,-0.045295186,-0.09338983,-0.045263577
0.017159149,-0.05353812,-0.06436444,-0.05158095,-0.05309524
0.06540396,0.07201366,-0.012114383,-0.02605237,-0.058055237
0.004842244,0.06220768,-0.0025138073,0.025477309,-0.04619702
0.002913474,0.021879368,-0.006472323,-0.05683688,-0.016208148
-0.02272873,-0.032145433,-0.0006049173,-0.040970556,0.0037101815
-0.10941668,-0.06446727,-0.09255318,-0.03467369,-0.06765255
0.051215775,-0.018745322,-0.027338114,-0.025603125,-0.035463214
-0.12176799,-0.05032221,-0.08872196,-0.093969956,-0.14542308
-0.090562746,-0.04449065,0.014926681,0.03443356,-0.029544044
-0.09810424,-0.02255414,-0.05914916,-0.072730504,-0.06951024
0.01296737,-0.06641729,-0.03288704,-0.0924889,-0.028477792
0.014435466,-0.07036934,-0.103689134,-0.10368092,-0.09500911
0.030067716,0.00038218917,-0.05952067,-0.062145617,-0.026194839
-0.11029274,-0.015704282,-0.039237108,-0.0523663,-0.1644991
-0.14491345,-0.021952584,-0.08222617,-0.09413393,-0.17655808
-0.068078995,-0.07782051,-0.108677685,-0.15811965,-0.15210901
-0.07215831,-0.036438294,-0.0066688573,-0.10161729,-0.07809199
-0.010685543,-0.012327798,0.016761716,-0.027328482,-0.06788965
-0.12939972,-0.10776277,-0.1364943,-0.13409059,-0.14025995
0.017365493,-0.07589511,0.0007489021,-0.060285002,0.03551495
-0.056472912,-0.058780067,-0.084189795,-0.08661772,-0.15593116
0.04295813,0.06175268,0.10538467,0.046450995,0.01538215
-0.0003182073,-0.02469735,-0.049996175,-0.030915838,0.0049454644
0.07307409,-0.03217863,0.045889728,-0.016741972,0.06441092
0.031394616,0.04260912,0.006710311,-0.0064323563,0.041018087
-0.025530715,-0.06091686,-0.02598755,-0.018327389,-0.061897554
-0.017404266,-0.0059490236,-0.004050778,-0.041273594,-0.05854935
0.0048525133,0.01943269,-0.0027970271,-0.037637874,0.00023140013
-0.020117402,0.023427516,-0.028060412,-0.077796765,-0.12502706
0.03035317,0.1038827,0.018820597,0.0138843665,-0.01210618
0.02340655,-0.023281418,0.000880787,-0.06807365,-0.0143976165
-0.06870443,-0.04564251,-0.03372334,-0.12573974,-0.15423825
0.08417336,-0.052001882,-0.005298309,-0.19144583,-0.036473688
-0.019624587,-0.020463675,-0.058813155,-0.093511455,0.058079496
-0.027387645,-0.04852816,-0.046319094,-0.043503236,0.02067923
-0.007954322,-0.010980964,0.038775414,-0.052912734,0.10576121
0.05897177,0.057100676,0.026004892,-0.067289494,-0.03211937
0.020778524,0.016876802,0.021250894,-0.06994716,0.020808265
-0.039921362,-0.09033468,0.02332621,-0.058894373,-0.12409495
0.0037506695,-0.07520874,-0.085643664,-0.08064817,0.045485385
-0.031000681,-0.0055473205,-0.0063982126,-0.027702041,-0.042721644
-0.060004987,0.0065954234,-0.0068952176,-0.07373475,-0.004689264
0.017096523,0.07204489,-0.0035014693,-0.04957855,-0.06964026
-0.03558981,0.016613474,-0.04444376,-0.08701187,-0.08999622
0.01599621,-0.04064424,0.030842312,-0.04545583,0.043597564
-0.058007184,-0.09163864,-0.014417671,-0.115674555,-0.08940837
-0.16247503,-0.013166423,-0.10836175,-0.1512332,-0.22096963
-0.019705908,-0.026062107,0.0047180145,-0.07795082,-0.05288106
