Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.054633655,0.025178134,-0.03221249,-0.07192797,-0.12927125
0.03914897,0.0702536,0.0004907502,-0.030396532,-0.046369098
0.0050870506,0.03325205,-0.01842685,-0.061542127,-0.012180294
0.011630546,0.04851903,-0.015269943,-0.03052758,-0.039818555
-0.01677018,0.019292535,-0.011186203,-0.027081687,-0.09959228
-0.04245089,-0.04407704,-0.028803222,-0.16965339,-0.14416191
-0.05019765,0.0077764494,-0.033637643,-0.03237015,-0.10691742
0.017270334,0.049209293,-0.029469825,-0.034524053,-0.10101407
0.0071495287,-0.0036650766,-0.043320257,-0.09148257,-0.07739999
-0.037733383,-0.023780629,-0.053484734,-0.06868103,-0.1025842
-0.038128912,-0.043810777,-0.08685194,-0.15896969,-0.20822197
-0.036747333,0.049192112,0.016787937,0.043904,-0.1463783
-0.01537852,-0.008686587,0.012366885,0.032757174,-0.057366356
-0.009023888,-0.0008016266,0.014537206,-0.036542095,-0.14588502
-0.04353051,0.00312939,-0.018270187,-0.02718053,-0.11352924
0.008365301,-0.020366574,-0.024472173,-0.043118823,-0.16492334
0.11829837,0.010100499,-0.036689933,0.0016838186,-0.06640319
0.035237696,0.02620099,0.0070310785,0.021377256,-0.008403424
-0.059522297,-0.0055690985,-0.053622533,-0.124905236,-0.18550242
-0.04438667,-0.010887731,0.0048851483,-0.05037102,-0.12184068
-0.009036787,-0.055603802,-0.0527103,-0.13738379,-0.14628623
-0.020958576,-0.14103602,-0.14633292,-0.13554655,-0.19048566
0.0050986093,-0.02090393,-0.003768011,-0.061463106,-0.14045864
0.015465106,-0.059373967,-0.07513795,-0.119763836,-0.06647873
-0.111428805,-0.0025394163,0.005080349,-0.014683991,-0.08441435
-0.055511028,-0.0065085324,0.020895269,-0.015993936,-0.11667963
-0.032722767,-0.017022155,-0.014481081,-0.117546044,-0.06740231
-0.08223278,-0.035707217,0.028180739,0.013626862,-0.0585619
0.0068133194,-0.039865844,-0.055719767,-0.10176045,-0.09623253
-0.022545453,-0.0267622,-0.06269999,-0.115529895,-0.1854955
0.07098922,0.019285588,-0.06713371,-0.047345553,-0.13531604
-0.01882162,0.012728661,-0.020797355,-0.049549945,-0.19399607
-0.076440945,0.006486213,-0.027092095,-0.061659966,-0.1246866
0.0274148,0.041000932,-0.03121852,-0.060855106,-0.09166665
0.014448336,0.012460172,-0.035810206,-0.10758472,-0.18483064
-0.16061997,-0.07132172,-0.09021273,-0.13869599,-0.19690803
-0.10125108,-0.06951773,-0.096322864,-0.17129686,-0.080326855
-0.0750867,0.037854318,-0.04366138,-0.114104636,-0.14127155
0.014548134,-0.030417772,-0.07389331,-0.10526649,-0.08873132
-0.13721047,-0.095709056,-0.14858386,-0.14765432,-0.20369121
-0.0019549876,-0.050603446,-0.1116848,-0.1744829,-0.06734156
