Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.048528947,0.03575594,0.013305743,0.004238805,-0.034013234
0.04203244,0.027990714,0.013567365,0.041839864,0.08905685
0.013187045,0.017567033,-0.054566134,-0.07373768,-0.012269951
0.06071914,0.0858112,0.057887465,0.08759151,0.034003127
0.057836752,0.056119952,-0.012026923,0.015848648,-0.025780901
-0.03906323,-0.015977472,-0.08171805,-0.11269481,-0.08507497
0.019584853,0.050054234,0.006096847,0.01036597,-0.005691467
0.06517516,0.041970942,0.015936157,0.0037913895,-0.013242491
0.07319401,0.08254907,0.040997848,-0.04618015,-0.041742228
0.030108273,-0.025610812,-0.015078537,-0.113950565,-0.13043915
-0.04015166,-0.02751422,-0.10597079,-0.09186131,-0.16621813
0.019696519,0.0020665713,-0.063146666,-0.065735005,-0.14241004
-0.033443056,0.0011815813,-0.07362916,-0.08262092,-0.09093229
0.035513975,0.016718054,-0.021824025,-0.039748296,-0.06351211
-0.006381096,0.0111565385,-0.038761586,-0.051436733,-0.116499156
-0.048204813,-0.016377639,-0.04031996,-0.0803383,-0.08699505
-0.0051839575,0.021350417,-0.02819707,-0.0063581388,-0.10146505
0.021642324,0.040749688,-0.03724146,-0.06612021,-0.090505734
0.047964405,0.06667054,0.01779005,0.030849516,-0.06316896
0.043876212,0.066355035,0.020145906,-0.036493093,-0.01885102
0.072440475,0.050848767,0.06089778,0.004819657,-0.057055958
0.1073752,0.08928105,0.12708211,0.058973484,-6.296486e-05
-0.04224586,-0.01507514,-0.03396328,-0.07660647,-0.1535938
0.008697007,0.07445052,0.042554356,0.07233888,-0.006468689
-0.022561569,0.0377765,-0.055344857,-0.08435655,-0.07397527
-0.0080967,-0.0018242141,-0.08835132,-0.051266,-0.16131105
-0.0065679494,-0.0015847171,-0.014510607,-0.03222779,-0.053379692
0.11433487,0.06795087,0.02166107,0.05406238,0.075153045
0.060108174,0.025713509,-0.06227277,-0.033570252,-0.011475317
0.04287872,0.07636838,0.04276994,0.0033244034,0.023303218
-0.04904483,0.031897597,-0.054452047,-0.019396644,-0.08154719
-0.007781243,0.024658266,-0.010006008,-0.052759983,-0.12052786
0.034524374,0.061665997,-0.023469822,-0.07988933,-0.0027404688
-0.030044679,-0.005729162,-0.103777505,-0.11720246,-0.1275549
0.039966095,0.033277594,-0.028003998,-0.024034366,-0.06170335
-0.015057122,0.040619425,-0.0521699,-0.026472937,-0.0033757482
-0.015438296,0.01332459,-0.007885005,-0.015459808,0.063579366
-0.08498168,-0.009254743,-0.056031965,-0.08744928,-0.06804268
-0.04702446,0.0024336278,-0.051725946,-0.09060614,-0.0050026383
-0.048053883,0.033520147,-0.07611578,-0.031533018,-0.04277076
-0.010131247,0.09589347,0.03167824,-0.022744462,0.039634105
-0.006199984,0.037200034,-0.060896177,-0.053673074,-0.011344532
0.036965676,0.03926246,-0.0016461704,0.011436749,-0.066846274
0.038709227,-0.0028835302,-0.01551516,-0.045553423,-0.03812619
-0.03414737,-0.02867625,-0.031054009,-0.07698377,-0.04365827
0.011810533,0.0015256696,-0.047755472,-0.09409522,-0.046991494
-0.038334336,0.022902101,-0.076119825,-0.08012248,-0.06659298
0.034195002,0.050479066,-0.011842303,-0.01584809,-0.0013620015
0.029228568,0.011564065,0.038726844,0.043157626,0.0047513167
-0.02476685,-0.05170097,-0.082895294,-0.1337565,-0.076317616
0.0068990635,0.05765781,0.02386822,0.03467936,0.024290195
0.044257555,0.022710789,-0.041944716,0.02903578,-0.030046612
0.03173537,-0.064913176,-0.033031143,-0.12738529,-0.0770441
0.010874361,0.0009293284,-0.07329706,-0.10469539,-0.08014603
0.062589444,0.12883718,0.062472124,0.08270184,0.021306373
0.002985864,0.0481457,-0.003717593,-0.03951811,-0.09728053
0.044897534,0.036322355,-0.04250497,-0.07287617,-0.045662574
-0.052759178,0.07419579,-0.03989946,-0.11763528,-0.008588571
-0.011138793,0.04302389,-0.05826032,-0.05901716,-0.032671213
0.03561026,0.017091732,-0.011098685,-0.07797487,-0.05443212
-0.0066530937,0.029382259,-0.022974908,-0.08689167,-0.10458718
0.035163254,-0.047979463,-0.0013300232,-0.032999653,-0.054260787
0.084764786,0.017433602,-0.0013796124,-0.023346111,-0.06845219
-0.019441292,0.0013950941,-0.11710897,-0.14048928,-0.10334228
0.07232229,0.07805901,0.027050627,0.01832213,-0.037459254
0.06777484,0.042664193,0.014302466,-0.057666864,-0.057809208
-0.02909566,0.032041978,-0.058278486,-0.06699933,-0.23500618
0.04019636,-0.008865852,-0.074935615,-0.10417001,-0.08261432
0.07086873,0.044160563,-0.028920867,-0.12201826,-0.028496876
0.0832811,0.04882559,-0.0010276372,0.002782897,-0.002111435
0.07009609,0.04617525,0.04010125,-0.039539732,0.022133395
0.037343323,0.07934718,0.060455468,0.043013792,-0.008833079
