Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.0054838057,0.050115455,-0.01009818,-0.019820722,-0.08437221
-0.040300075,0.031049207,0.0058608293,0.063961044,-0.084071696
-0.040253688,0.054688044,-0.014436434,-0.0062297815,-0.11686767
0.019421315,0.1547167,0.11030078,0.13270235,0.032751076
-0.018885579,0.085927054,-0.003910974,-0.0053254757,-0.13128641
-0.023351308,0.059383474,-0.000673631,0.022221012,-0.007500658
-0.015121041,0.10081043,0.042868152,0.07594837,0.0014266819
0.0049398676,0.09422746,0.0721295,0.07679137,0.003573724
-0.09513888,0.03957732,0.025122583,0.049708635,0.024929391
-0.04337409,0.07540144,0.051439013,0.044326283,-0.0036285035
-0.037125092,0.0930302,0.049263217,0.08957499,-0.03172154
-0.028743656,0.10149354,0.037820898,0.03696685,0.07326598
-0.015678301,0.028316617,-0.019871973,-0.022863308,-0.01744686
-0.043946583,0.034730032,-0.045673467,0.030101325,-0.0637081
-0.012987422,0.09321196,0.007605653,0.013439759,-0.045851767
-0.05007592,0.100807264,0.03614088,0.08218772,0.06859867
-0.031448122,0.13409738,0.041047964,0.09708957,0.054115504
-0.06173975,0.08809365,0.0050441944,0.030487098,-0.04870851
0.022680134,0.070093565,0.02434795,0.093646795,0.0031358507
-0.18633553,-0.11116423,-0.12915489,-0.1284257,-0.24884492
0.026903985,0.060870912,0.03112622,0.060506172,0.016207445
0.0057892837,0.15983255,0.08100415,0.10071567,0.11895959
-0.04019911,0.09320867,0.001323673,-6.3147396e-05,-0.024411887
0.024499085,0.07974322,0.032134596,0.03230518,-0.0022880435
-0.011189373,0.060438387,0.007823732,0.008424295,-0.026696783
0.030050596,0.094209656,0.025277315,0.019888217,-0.03578464
-0.026192155,0.029688986,0.05902984,0.091227084,0.06308906
-0.048084833,0.047623076,0.039789796,0.091092706,-0.04012397
-0.054729216,0.082992904,0.035604414,0.07367538,0.010902608
-0.011548258,0.090381235,0.04661645,0.07077581,-0.024956465
-0.0010318859,0.08826268,0.04857661,0.07892504,0.002051278
-0.0112338085,0.026671438,0.0015027896,0.015065534,-0.05758576
-0.010898132,0.1136318,0.047313284,0.04015881,-0.07920991
-0.03799618,0.05458072,-0.042533487,0.016795114,-0.09604925
-0.09036941,-0.014572052,-0.018750304,-0.040585577,-0.14408603
-0.1023494,0.049735814,-0.01752168,0.043683264,-0.072667554
-0.041637734,0.004554191,0.013385436,-0.015485805,0.04249324
-0.030004345,0.021964807,0.010774307,-0.043645404,0.01263413
-0.08665484,0.01729891,0.026534306,0.05222556,0.0060756914
-0.069707975,0.039640658,0.007589176,0.018432057,-0.0008759727
-0.08554363,0.08965216,0.050446033,0.0765529,-0.019764151
-0.057266355,0.13061333,0.08413263,0.0722949,-0.036673315
0.035115693,0.058581613,0.12521279,0.07271424,0.17530568
-0.09586269,0.085650004,0.023999607,0.037773732,-0.08760428
-0.07236925,0.015033617,-0.07272229,-0.083944745,-0.13077314
0.028616745,0.00800264,0.049675323,0.083506204,-0.04045599
-0.035198644,0.02613964,0.013151772,0.06922792,-0.089437366
-0.12863883,0.0070611285,-0.06134451,-0.08156799,-0.24234504
-0.026015058,-0.063716054,-0.028912375,-0.024545172,-0.11188187
-0.1532915,-0.10972831,-0.09454802,-0.13486584,-0.18477723
0.022072462,0.07917178,0.010961719,-0.011064585,-0.04591431
-0.07558711,0.05204044,-0.014753832,-0.043122966,-0.042145085
0.031581108,0.099576354,0.042908236,-0.04936029,-0.01119164
0.030578773,0.10390738,0.066006295,-0.0077250535,-0.031310976
-0.0058591464,0.08012122,0.06664023,0.047938593,0.045287892
-0.06411162,0.1155718,0.041104615,0.05149231,-0.018401254
-0.034417134,0.04993568,-0.0023495299,0.03375544,-0.059687946
-0.04283288,0.09899288,0.019981524,0.056258634,0.0023506656
-0.14229283,0.009612185,-0.052046325,-0.08387163,-0.08703728
-0.022841733,0.07716441,0.016359288,0.014506912,-0.043252833
-0.17006512,0.040331673,0.007898672,-0.07794341,-0.07835658
-0.042593345,0.08597498,0.024255697,0.019639742,0.09207287
-0.013541732,0.049657505,0.024243185,-0.021299249,-0.022898007
-0.08803566,0.07599266,0.010240061,0.01885032,0.010982636
-0.041963734,0.06979454,0.018261284,0.053596206,0.020844707
-0.008297145,0.05797977,0.076334804,0.07171072,0.0151347425
-0.02213379,0.048023943,0.057339925,0.06453099,0.0386966
0.014400324,0.028820686,0.03478099,0.07967508,0.016228637
-0.01698024,0.03436804,0.037474774,0.08390659,0.041919798
-0.12061483,-0.095061146,-0.106047496,-0.15034124,-0.16822812
-0.021620074,0.060525488,0.04405599,0.071638785,-0.032824278
-0.0405901,0.11180471,0.095827326,0.09449472,0.064634606
-0.14003028,0.06859202,0.028618362,0.055938065,0.045725945
-0.07780752,-0.01640697,-0.0007657949,0.0024376565,-0.010651224
0.01977123,0.06269184,0.052714866,0.08566209,-0.040362347
-0.074852176,0.083028,-0.056566563,-0.101688296,0.066572286
-0.11068087,-0.05288208,-0.04944148,-0.06798449,-0.15138012
-0.042998217,-0.015725931,-0.011822188,-0.08263359,-0.087884605
