Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.00751677,-0.05298977,-0.027276836,-0.06913121,-0.04318407
0.009858848,0.01948658,0.015985066,-0.009154139,-0.011229295
-0.08358674,-0.06810898,-0.045196895,-0.07321123,-0.17026883
-0.13806815,-0.07198788,-0.036670383,-0.08678525,-0.17845827
0.02152568,0.084289774,0.036397893,-0.008033549,0.010869948
0.016569208,-0.014285356,0.01641374,-0.07797146,-0.021280797
-0.056679256,-0.08510211,-0.0036105784,-0.04077324,-0.11376933
-0.034961995,-0.028467532,0.021702014,-0.03387154,-0.08658748
-0.024649747,-0.020844225,0.0005401303,-0.08381215,-0.056288965
-0.060165666,-0.07899368,-0.030024912,-0.07760708,-0.11999169
-0.072506204,-0.06153083,-0.03262412,-0.08660306,-0.107514806
0.041729685,0.028090784,-0.037427172,-0.1317167,-0.018480944
-0.024110928,-0.009492436,-0.075043045,-0.027859878,-0.1348995
-0.015293511,-0.023331411,-0.031576555,-0.021034349,-0.11280892
0.008267723,-0.044265814,0.0049254224,-0.052660067,-0.061767496
-0.10178776,-0.004136337,-0.018702252,-0.008370282,-0.14588806
-0.10120746,-0.09294962,-0.0583101,-0.08368623,-0.17427295
-0.20335558,-0.028512351,-0.065870106,-0.07244462,-0.14185838
-0.07596827,-0.0057300935,-0.017845538,-0.025871573,-0.054973997
-0.13518813,0.004069753,-0.03227234,-0.025310826,-0.14357969
-0.04628452,0.010517494,0.067267515,0.014812961,-0.008279941
-0.17536364,-0.084491886,-0.04742772,-0.06862913,-0.19135892
-0.18191609,-0.026350267,-0.08637037,-0.05188756,-0.21008098
-0.14082809,-0.073888406,-0.07789049,-0.02668871,-0.16638616
-0.18393017,-0.057695273,-0.090326935,-0.09587557,-0.23743725
-0.07829037,-0.0031363838,-0.037433237,-0.025165707,-0.12883377
-0.10343698,-0.06774576,-0.09092486,-0.14851503,-0.12339802
-0.08450493,-0.041636486,-0.12049694,-0.15121865,-0.08354082
-0.102174036,-0.026556524,-0.09745966,-0.08955125,-0.14789592
-0.09368643,-0.02380123,-0.07039524,-0.11526887,-0.13384382
-0.07463402,-0.08962248,-0.06984874,-0.13358712,-0.14181772
-0.07396507,-0.027672034,-0.07253047,-0.08823108,-0.12957881
-0.033896737,0.0091304155,-0.022115584,-0.06023234,-0.06654563
-0.08861525,-0.039559115,-0.06375593,-0.04183531,-0.0827365
-0.031151768,0.015328214,0.04140628,-0.021036703,0.003924791
0.0045604403,0.07013082,0.10067262,0.0070605427,0.012208404
0.072456695,0.039472543,0.05982895,0.013228032,-0.0069497786
-0.119183965,-0.11753184,-0.10364821,-0.12330868,-0.2232539
-0.07495777,0.03865416,0.0071502896,-0.016144685,-0.057522804
-0.14557077,-0.07678735,-0.13137396,-0.0418749,-0.090866536
