Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.003683299,0.111479826,0.04527825,0.025507394,0.0060404595
-0.051698834,0.033237822,0.048237763,-0.01660682,-0.051006842
-0.03699232,0.08439529,0.04337687,0.00056733843,-0.03458527
-0.029837975,0.07592599,0.034869306,0.02700932,-0.022834266
-0.01803942,0.048474498,0.075071976,-0.013813473,-0.03821726
0.0022902414,0.107884,0.041215166,-0.05882051,-0.03385614
-0.079589576,0.096884556,0.06624878,0.020162363,-0.047844157
-0.027694553,0.0868951,-0.031078238,-0.057866238,-0.05139552
0.025720827,0.083496094,0.07468005,0.0009113308,0.0033860598
0.0013567917,0.10359405,0.01042727,0.00090115145,-0.032599628
-0.011106532,0.046622254,-0.034353614,-0.06603341,-0.028919414
-0.06672338,0.086011715,0.0139288185,-0.011681563,0.0027926448
-0.052068584,0.07671294,0.029629651,-0.002371383,-0.02878854
-0.019147575,0.043041945,-0.0154511165,-0.04762928,-0.041748874
-0.036563095,0.06877652,0.010485652,-0.040863976,-0.028994445
-0.0095544625,-0.00019380823,-0.041785713,-0.075294934,-0.030113395
0.04232011,0.08168889,0.021028332,-0.027189268,-0.0319186
-0.025646973,0.040940464,0.015831886,-0.039083242,0.003511455
-0.020200562,0.105154574,0.03750812,0.011650712,-0.00782638
-0.019064788,0.06971659,0.03796645,0.006604651,-0.008125357
-0.07107946,0.056081053,0.055290624,-0.001132464,-0.012708405
-0.023660662,0.0035656183,0.03156564,-0.08879156,-0.107262075
-0.04413546,0.07702315,0.09568532,-0.027387138,0.009300315
0.0062917415,0.09719561,0.06016448,-0.00034157885,-0.018430194
0.048062686,-0.008556855,0.024612198,0.038723756,-0.067392744
-0.019716613,0.08230823,0.020828377,-0.017836735,-0.01811111
-0.04191502,0.07124808,0.029411681,0.0038032737,-0.022544198
-0.068967514,0.015426446,-0.019671323,-0.114136785,-0.14573458
-0.0024746507,0.044971053,0.04890966,-0.024530713,-0.058647037
0.035316985,0.08789929,0.04012997,0.015335191,0.03899543
0.08522361,0.08536334,0.07351076,0.03558677,0.09820828
-0.0035253267,-0.044131536,0.014233283,-0.0016548336,-0.07093592
0.018615745,0.0029312188,0.03275956,-0.07469242,-0.034149528
-0.0616941,0.05845077,0.05645672,-0.000557052,0.028908284
-0.018850816,-0.004388947,-0.021590382,-0.07881296,-0.0065190718
0.05600919,0.09206085,0.07114893,-0.057186715,0.057413075
-0.025111381,0.058951844,-0.040905386,-0.04772886,0.041146733
0.051133916,0.06488992,0.0907984,0.077234015,-0.0005073128
0.03326555,0.08434085,0.012588197,0.018432569,-0.005728271
0.052250773,0.15527306,0.09780656,0.069087096,0.0869123
-0.0125163905,0.052312516,0.043597966,-0.012703097,-0.016880259
0.045730118,0.09879309,0.045009244,-0.025415171,-0.013312727
-0.0006970987,0.09448339,0.104379684,0.08461115,0.03938723
0.0683623,0.03144592,0.049299125,0.083633564,-0.0289841
0.02058057,0.0077165244,0.0085424725,-0.020652842,0.0063041085
-0.029845655,0.0005396344,-0.023532458,-0.09423639,-0.09161293
0.016760789,0.055171706,0.03705621,0.06284785,0.0072978176
-0.010655364,0.037716586,0.045382958,-0.0020408295,-0.054922815
-0.0037231783,0.08508738,0.037232146,-0.0019400558,-0.027516821
-0.06767684,0.07299842,0.053556517,0.07650841,-0.017690746
-0.0061092447,0.02208073,0.03116294,-0.027985469,0.0101122055
-0.019651502,0.076554224,0.054393075,0.011010822,0.054806948
-0.05645075,-0.061114386,-0.053288415,-0.091741346,-0.029025212
0.041854076,-0.04925338,0.017948043,-0.06541398,-0.09619856
-0.0924052,-0.012391037,-0.043445237,-0.08050273,-0.010607687
-0.05900949,-0.042149704,-0.016908508,-0.10493348,-0.096502855
0.008699978,0.020151742,-0.014668515,-0.077693194,-0.07564389
-0.029975452,0.037055682,0.022114102,-0.0037279152,-0.078496784
-0.03434699,0.09994394,0.07172982,0.03809242,0.028662013
-0.04028773,0.08596879,0.028016692,-0.037653927,0.032004844
-0.056043774,0.06312372,0.017280329,-0.029006578,-0.052638177
-0.030378498,0.03191528,-0.0004981798,-0.010030357,0.02873496
-0.07482759,0.07891184,0.042532116,0.038953014,0.018518921
-0.07012479,0.10878724,0.036250673,0.004828425,0.015530532
-0.07700716,0.068921946,0.021613613,0.06268982,0.0003708396
-0.023155393,0.032366034,-0.008493822,-0.027350724,-0.05385001
-0.03983635,0.048642207,0.0383344,0.0005503972,-0.009629577
-0.06558436,-4.832726e-05,-0.033828948,0.016597837,-0.11207092
-0.0090103075,0.069447674,0.058383077,0.04100233,-0.011950598
0.007336732,0.022957608,0.061872933,0.02104153,0.071134105
-0.031726986,-0.016005812,-0.041748155,-0.09201854,-0.10982628
0.030525934,0.031656753,0.07808862,0.06860671,0.0012483001
0.05674769,0.020334557,0.033545937,0.00097523397,0.024570223
-0.0038144626,0.030445628,-0.008794603,0.010869706,-0.018052533
-0.011121894,-0.019063234,-0.053051732,-0.010247977,0.03162624
-0.053697217,-0.0044481824,0.0057096216,0.0061074398,0.04848262
-0.017234541,0.03602678,0.04794054,0.0040840134,-0.0035590064
