Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.02638407,-0.06002722,-0.09656713,-0.0554026,-0.17105164
0.07448052,-0.0011447221,0.0043240525,0.016515467,-0.033843167
0.023715656,-0.07594531,-0.07536465,-0.028781844,-0.10258824
-0.022411074,-0.06538207,-0.072975636,-0.03117663,-0.13987643
-0.02725939,-0.033218667,-0.10181124,-0.046068937,-0.14453828
0.06875744,0.052900337,0.0149456225,0.039121985,0.044027496
0.04284468,-0.044178892,0.013807043,0.017682394,-0.054327354
0.0030498784,-0.052451074,-0.091239125,-0.05542481,-0.16933686
0.010418922,-0.05186389,-0.050161622,-0.0077700494,-0.08545219
0.03741388,-0.0464887,-0.071084164,-0.0824318,-0.0697843
0.00025647506,0.013540644,-0.023471814,0.039146326,-0.1291292
0.044638723,-0.008725062,-0.01743657,-0.011228075,-0.021850571
-0.012592329,0.036121607,-0.039075475,0.010135437,-0.07646019
0.039073315,0.010757795,-0.037655756,-0.037235077,-0.03642778
0.0014950028,0.003969699,-0.03266216,-0.03154286,-0.042374767
-0.00723921,0.022963567,-0.046594832,-0.027162224,-0.1611955
-0.0065757814,0.048800662,-0.027925374,-0.02813819,-0.13081166
0.0008588936,-0.00079346634,-0.073970325,-0.0859244,-0.09825483
-0.026847715,0.02101982,0.031958327,-0.022126505,-0.083769366
-0.09350256,-0.05705095,-0.11085088,-0.07428462,-0.22673334
-0.054911494,-0.0023440775,-0.05718276,-0.12205108,-0.10471664
-0.12338154,0.020035854,0.007300091,-0.0051090755,-0.092271134
-0.03309806,-0.09094574,-0.051469773,0.015828706,-0.22536585
-0.025376832,0.009338488,-0.06396501,-0.057994016,-0.20695473
-0.046583712,-0.006514528,-0.05010574,-0.05620705,-0.1936725
0.008336697,0.06649448,0.0026164833,-0.011581309,0.006184889
-0.06978184,-0.02301033,-0.13327663,-0.15553814,-0.18993029
0.010804812,-0.056053545,-0.052102584,-0.045629524,-0.19104888
