Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
-0.05730969,0.003485674,-0.015668174,-0.04568532,-0.058186725
-0.025183681,0.039850745,0.020929161,0.00038677314,-0.010038452
0.0013317401,-0.007595001,-0.052296266,-0.14039233,-0.08928035
-0.007635412,0.058570083,0.017867118,-0.025605166,-0.024767376
-0.008398745,0.012869876,0.0068398435,0.1253576,-0.029333916
-0.07165143,-0.012582884,-0.020877965,0.05210348,-0.057235744
-0.016515462,-0.0023391712,-0.014025693,0.02197758,-0.046045035
-0.04127197,-0.054401524,-0.0240506,0.015184276,-0.053220928
-0.034303166,0.052168153,-0.016251858,-0.04959087,0.05819446
-0.040261213,0.058878437,0.03576425,-0.016870491,-0.057680048
-0.007287722,-0.0053574853,-0.039399303,-0.04209217,-0.08005753
-0.07414447,-0.02653316,-0.08511105,-0.055707958,-0.14747867
0.077088565,-0.029604925,-0.0077167554,0.022184094,0.08110979
0.090646446,0.019276947,0.03594376,0.05921837,-0.00855466
-0.04351487,-0.021546707,-0.07624679,-0.005311385,-0.06505072
-0.055947073,-0.007280197,-0.040013038,0.008625578,-0.06260707
-0.09479656,0.0065816343,-0.041440368,-0.045577466,-0.10516282
-0.03376006,-0.017429626,-0.046126872,-0.057753768,-0.030812673
-0.023742702,0.0014915783,-0.040991116,-0.092274494,-0.14892332
-0.024268746,-0.015871238,-0.029401902,-0.08886483,-0.038547367
-0.0029819384,0.013583448,-0.009746583,-0.03433159,0.02908586
-0.02283898,-0.0045328625,-0.045770936,-0.09021069,-0.05076761
0.027992707,-0.036238194,-0.041586287,0.025276277,-0.054898
-0.0021541128,-0.0018584393,-0.038836755,-0.15033501,-0.090915695
0.02909526,-0.0109654805,-0.052683033,-0.0747768,-0.05553396
-0.04833079,-0.022611119,0.0024745893,-0.040459186,-0.036211547
-0.0147253545,-0.027460542,0.02256189,0.0023691459,-0.013776405
-0.015870651,0.047874857,0.037013035,0.06625794,-0.045889772
0.065150104,0.02878819,0.06818646,0.07163621,-0.057308387
-0.08393621,-0.0072931238,-0.04937359,-0.03822436,0.0067043034
-0.11109556,0.031336255,-0.0064902566,-0.013938036,0.0050850883
-0.08650273,-0.013220542,-0.022090299,-0.041912638,-0.08246033
-0.029491186,0.04890906,0.031293847,0.017001182,-0.0036440468
-0.023710571,0.0031172968,-0.034386553,-0.044754993,-0.10894431
-0.08814695,0.036556456,0.017123504,-0.00385057,-0.048064373
-0.059007697,0.067168646,0.037942916,0.014740531,-0.08088999
0.030127827,0.040324572,0.08740972,0.06588411,0.05149953
-0.057351135,-0.039100498,8.842349e-05,-0.012569986,-0.023505703
-0.08830619,-0.040070474,-0.045431167,-0.01440451,-0.11833115
-0.016421497,0.061929584,0.013687113,0.02516381,-0.084252164
0.014513289,-0.023160353,-0.005980513,-0.06158101,0.003980863
-0.016423851,-0.014396597,-0.042462036,-0.10868804,-0.08136719
-0.03166642,-0.020680154,-0.006388031,-0.0866723,-0.074038066
-0.020286856,-0.052814327,-0.0288039,-0.07329574,-0.11799836
0.012796937,-0.016544301,0.038002796,-0.041979324,-0.024417859
-0.017958224,-0.036469184,-0.023519244,-0.052859843,-0.10502417
0.0016547553,-0.004793966,-0.024120782,-0.058634825,-0.11551264
-0.06576253,-0.054338343,-0.07893366,-0.0990671,-0.10885125
-0.06545393,0.014588557,-0.020223152,-0.059165183,-0.0729232
0.06411799,-0.036942255,-0.011893859,0.0076187346,0.062039305
0.060519796,0.0136659825,0.009585893,0.00032578968,-0.07546372
-0.010237409,0.03264041,-0.029585682,-0.07746202,-0.044212345
0.0074242502,0.045864858,0.038875215,0.062134467,-0.027422
0.0007650517,-0.0040698857,-0.033649437,0.003545814,0.0017248401
-0.026582144,-0.016940214,-0.013015316,-0.028802205,0.027175708
0.07862232,0.041475005,0.0062482003,0.025101643,0.090060115
-0.05644561,0.0677274,0.061937664,0.03872469,-0.008034982
0.0013317401,-0.007595001,-0.052296266,-0.14039233,-0.08928035
-0.005878913,0.038889915,0.031327385,-0.0042876615,0.07162092
-0.03664117,0.057243936,0.010174641,-0.011442125,-0.030081555
-0.014697099,0.0048120962,-0.0028716326,0.106765375,-0.04513596
-0.034303166,0.052168153,-0.016251858,-0.04959087,0.05819446
-0.013388509,0.051186927,0.035862453,-0.03105557,-0.048615955
-0.05399377,-0.05220583,-0.059013534,-0.07702904,-0.06840286
-0.025750754,-0.034384884,-0.030483857,-0.04280284,-0.095316425
-0.085326046,-0.048219897,-0.102214076,-0.06776239,-0.16176932
-0.10726513,0.015637647,-0.07886863,-0.063791856,-0.17028467
-0.07135029,-0.018942557,0.007324976,0.010751236,-0.027966894
-0.015928335,-0.015525898,-0.010600144,-0.041322514,-0.02798916
-0.023742702,0.0014915783,-0.040991116,-0.092274494,-0.14892332
-0.024268746,-0.015871238,-0.029401902,-0.08886483,-0.038547367
0.016295511,0.030897189,-0.017050875,-0.026395366,0.08690665
-0.057707112,0.050524365,0.0054195495,-0.029682852,-0.028735932
-0.021027107,-0.0015041903,-0.0029883534,-0.082196936,-0.07081987
-0.003095727,0.050689556,0.070442066,0.0033960324,-0.028784718
0.0035701748,-0.045228783,-0.01284477,-0.024289574,-0.047992006
-0.06686781,-0.04799907,-0.042125948,-0.08805912,-0.058525786
0.025675565,-0.00396127,-0.04690506,0.007251717,-0.059078313
-0.0021541128,-0.0018584393,-0.038836755,-0.15033501,-0.090915695
0.02909526,-0.0109654805,-0.052683033,-0.0747768,-0.05553396
-0.073225036,0.0010924973,-0.0305529,0.011307156,-0.06731471
-0.055947073,-0.007280197,-0.040013038,0.008625578,-0.06260707
-0.012943763,0.021153979,0.01920763,0.054791052,-0.0050760093
-0.123529114,-0.04172523,-0.09646068,-0.09703778,-0.15761647
-0.021277066,0.01364607,-0.067204416,-0.03852275,-0.0066146455
-0.055797804,-0.06384207,-0.02434424,0.022843465,-0.08777262
-0.015927743,-0.061895676,-0.03890606,-0.051785935,0.002683172
0.0003689751,0.006044917,-0.032328732,0.05406307,-0.02832146
-0.09482996,0.039621294,-0.0037235655,0.0088303,-0.07314184
0.042946897,-0.01606659,-0.034852512,0.01587802,-0.07527667
-0.021328086,-0.043497916,-0.005970221,0.014415164,-0.055262912
0.08538028,0.017756695,0.05809407,-0.009528667,-0.060699556
0.013479956,0.039335307,-0.019125415,-0.060507584,0.013607223
0.07395102,-0.008728877,0.023886612,-0.020803798,-0.009320445
-0.05137524,0.002872351,-0.021845037,0.020705841,-0.0540978
-0.08475068,-0.049925894,-0.01728994,0.044451524,-0.13847943
-0.035462983,0.023636188,-0.013631995,-0.07615387,-0.007127203
-0.09350419,-0.09301415,-0.028767798,-0.07735357,-0.073897004
-0.03939242,-0.0057765692,-0.026017053,-0.00044162013,-0.027303133
