Care,Fairness,Loyalty,Authority,Sanctity
Harm,Cheating,Betrayal,Subversion,Degredation
0.06336405,0.13562085,-0.0114484895,0.003567549,-0.03655319
0.060689826,0.15677859,0.0367202,0.057044305,-0.048998762
0.08130726,0.14374824,0.053558215,0.06857163,-0.03125611
-0.018695679,0.13317256,-0.05227392,0.013287978,-0.07238162
-0.0710746,0.22963707,0.0022956268,-0.004016581,-0.09845405
0.06655494,0.08725885,0.091188565,0.05183375,0.045485668
0.029717753,0.1590798,0.031709217,0.12872368,-0.036148686
0.02080847,0.15340656,0.0027179266,0.046705708,-0.044839412
0.03358076,0.1915223,-0.013933435,0.018270386,-0.017712012
0.042932406,0.17139447,0.015265175,0.0487131,-0.04123531
0.07367831,0.2026192,0.06615244,0.15467285,0.065220095
0.059629433,0.12773217,-0.024278145,0.005691869,0.07524611
0.02286934,0.11284612,-0.005286619,-0.020226626,0.04786312
-0.0053007714,0.1859565,-0.020840071,0.027735509,-0.08743157
0.044536248,0.10633275,-0.017494632,0.07144474,-0.06416292
0.035201926,0.13801086,-0.014937218,0.0069152047,-0.027802328
-0.0048425086,0.105372936,-0.006402638,0.0051288484,-0.07206512
0.013973646,0.15334472,-0.017070098,0.009285755,-0.06144599
0.074566014,0.20835143,-0.03605352,0.07536663,-0.1056965
-0.07392489,0.10269461,-0.032320004,0.033628374,-0.20199746
0.008409085,0.14411253,-0.035981096,0.0047562644,-0.08230592
-0.023317778,0.14446509,-0.03688003,-0.024361055,-0.07929537
-0.013975513,0.106089965,-0.012649713,-0.001524169,-0.07080937
0.0012605917,0.17960986,0.022040278,0.080376014,-0.049552407
-0.0314292,0.07476608,-0.015482925,0.02364596,-0.07031098
-0.15281177,0.12121761,-0.08530243,-0.07934782,-0.22447479
0.05196313,0.088485286,0.022122743,0.06582669,-0.011801252
-0.05231657,0.17115185,0.020069957,0.071955904,-0.008074855
0.029205134,0.1840217,0.02454418,0.07313158,0.017683022
0.044452466,0.15165502,-0.0061126724,0.07399611,-0.044160105
0.12783508,0.22079667,0.13432279,0.13281472,0.057381272
0.0061734803,0.12081196,0.021226656,0.10129671,-0.056055546
0.050666463,0.23286885,0.049875177,0.08960373,-0.016807
0.04114742,0.12950271,0.043794077,0.18165031,-0.11023381
0.04749289,-0.012074232,-0.023338484,-0.005015551,-0.10099594
0.0049951468,-0.024011116,-0.101502635,-0.046294633,-0.16737549
-0.10522775,0.00033758348,-0.045626786,-0.016300691,-0.1268568
-0.08938789,-0.045081075,-0.09984203,-0.06603286,-0.21861845
-0.18578687,-0.12774837,-0.124671996,-0.1005379,-0.20917001
-0.050371256,-0.02636257,-0.11106823,-0.07384206,-0.18427366
0.037965,0.08185536,-0.03789907,0.018877437,-0.10654028
0.017045049,0.20431201,0.047867745,0.12058467,-0.007165591
-0.02111802,0.23933356,-0.012681032,0.026969645,-0.03259434
-0.00607956,0.17835161,-0.05334167,0.0022823294,-0.080006346
-0.065935224,0.1288353,-0.043653097,9.557605e-05,-0.10021621
0.02782107,0.118397556,-0.06748702,-0.022899872,-0.104372494
0.07799601,0.06348345,-0.01934736,-0.04565926,-0.118656814
0.08575723,0.11873871,-0.02248348,0.055131108,-0.0594545
0.051013403,0.08463074,0.022288326,0.008987272,-0.014478338
-0.032342315,0.09544462,0.016375856,0.046509687,-0.027647113
-0.014808251,0.09385149,0.0007053027,0.07265304,-0.083093636
0.0067225685,0.030371923,-0.0028660193,-0.027480539,-0.057565734
0.101047695,0.18257514,0.084151,0.10201001,0.00027093198
0.041720953,0.08472447,0.061431386,0.0930123,0.03673889
0.049743105,0.112283856,0.056899704,0.08512604,0.054208145
0.1145822,0.110871546,0.063319735,0.085447654,0.03789212
0.018197212,0.11034234,0.0064970795,0.05402872,-0.107844934
0.08828273,0.06913142,0.094443925,0.16378698,0.0101621905
-0.076666504,0.134892,-0.042203207,0.02056336,-0.23245078
0.02042999,0.11487393,-0.041918144,-0.06271147,-0.053961813
0.10958457,0.08897601,0.1082122,0.18594998,0.05345823
0.09658386,0.04858442,0.1310513,0.10531119,0.07655746
0.052125014,0.12227276,-0.021378791,-0.009087207,-0.073014714
0.08190773,0.15029867,0.0289325,0.0238436,-0.014833534
0.03135944,0.1289107,0.004220078,0.017705392,0.004349786
0.011773767,0.1653043,0.0021693727,0.046524663,-0.0008233413
0.110322446,0.08774976,-0.012207467,-0.02423589,0.046895094
0.12075555,0.12475672,0.027852204,0.092218116,0.026183886
0.105630636,0.17334156,0.058155864,0.067232296,0.08817673
0.11707892,0.098251194,0.038785778,0.102651864,0.0020360462
0.120369256,0.13156292,-0.008241286,0.0007470548,0.02064492
0.154281,0.19991037,0.1072323,0.0460381,0.0723935
0.092694975,0.082260735,0.012674609,-0.018621337,0.016043011
0.11537932,0.114750415,0.006255418,0.017958786,0.0061691552
0.01680953,0.075878516,0.05797323,0.023972675,-0.021591116
-0.08529961,0.13503397,-0.008206127,0.025650278,-0.14241393
0.013389643,0.09565764,-0.017944334,-0.048926886,-0.11612851
0.054315202,0.085187376,0.02886767,-0.0052948687,-0.033265997
0.06840043,0.08015122,0.07924496,0.04161656,-0.036163878
-0.08252427,0.0865784,-0.07345414,0.009500886,-0.20102164
0.099797,0.06192407,0.08366355,0.023220994,-0.004789712
0.052645806,0.13213776,-0.004751117,0.027524695,-0.063863635
-0.0012350511,0.106223546,-0.009963421,-0.02615833,-0.077311784
0.053742692,0.13328783,-0.0034672096,0.105209604,-0.08937152
-0.006088537,0.07854883,-0.038532376,-0.0024499213,-0.09045891
-0.08627974,0.10722316,-0.09850791,0.0039529,-0.11123339
0.057386868,0.10982603,0.084435076,0.046319813,0.041689537
0.044325404,0.024681084,0.0013378393,-0.05510967,-0.09979071
0.028477527,0.10151109,-0.070501894,-0.07524778,-0.025705174
0.06347733,0.07015145,0.041736096,-0.012443356,-0.007818562
0.038805485,-0.07384516,0.01438934,-0.12546661,-0.06453888
0.08443746,0.06112411,0.00729742,-0.011665456,0.013514985
0.006268139,0.12746495,-0.012994674,-0.0027100816,-0.027264172
0.018574897,0.1787816,0.007016415,0.04819518,-0.0603716
0.084732726,0.112067774,0.061848916,0.047829315,-0.02667216
0.09439604,0.1384628,0.02798784,0.00017243205,0.018644562
0.10340755,0.07726659,0.040709704,0.02483536,-0.01679255
0.089647576,0.02790762,0.016872752,0.018297987,0.04256823
-0.0148673225,0.051176883,0.13685717,0.09704441,0.12827834
